tconst,titleType,startYear,genres,averageRating,numVotes,type
tt0000574,movie,1906,"Action,Adventure,Biography",6,1023,movie
tt0002130,movie,1911,"Adventure,Drama,Fantasy",7,3909,movie
tt0002423,movie,1919,"Biography,Drama,Romance",6.6,1096,movie
tt0002844,movie,1913,"Crime,Drama",6.9,2666,movie
tt0003014,movie,1913,Drama,7,1556,movie
tt0003037,movie,1913,"Crime,Drama",6.9,1812,movie
tt0003165,movie,1913,"Crime,Drama,Mystery",6.9,1442,movie
tt0003419,movie,1913,"Drama,Fantasy,Horror",6.4,2604,movie
tt0003643,movie,1914,"Crime,Drama,Horror",6.4,1546,movie
tt0003740,movie,1914,"Adventure,Drama,History",7.1,4235,movie
tt0003772,movie,1914,"Drama,Fantasy",6,1127,movie
tt0003930,movie,1914,"Crime,Drama",6.8,1529,movie
tt0003952,movie,1914,"Crime,Drama",6.7,1296,movie
tt0004026,movie,1914,Horror,6.7,1301,movie
tt0004181,movie,1914,Drama,6.2,1513,movie
tt0004465,movie,1914,"Action,Adventure,Drama",6.3,1111,movie
tt0004635,movie,1914,"Action,Drama,Romance",5.7,1123,movie
tt0004707,movie,1914,Comedy,6.2,3860,movie
tt0004972,movie,1915,"Drama,War",6.1,27782,movie
tt0005060,movie,1915,"Drama,Musical",6.3,1158,movie
tt0005078,movie,1915,"Drama,Romance",6.5,2974,movie
tt0005339,movie,1915,Drama,5.7,1133,movie
tt0005916,movie,1915,"Drama,Horror",6.8,1105,movie
tt0005960,movie,1915,"Biography,Crime,Drama",6.8,1529,movie
tt0006206,movie,1915,"Action,Adventure,Crime",7.3,5756,movie
tt0006333,movie,1916,"Action,Adventure,Sci-Fi",6.1,2171,movie
tt0006780,movie,1916,"Drama,Romance,Western",6.7,1152,movie
tt0006864,movie,1916,"Drama,History",7.7,17618,movie
tt0006886,movie,1916,"Adventure,Crime",7.2,1207,movie
tt0008443,movie,1917,"Comedy,Drama,Family",6.7,1632,movie
tt0008663,movie,1917,"Drama,War",7.3,2512,movie
tt0008879,movie,1918,Drama,7.1,2249,movie
tt0008891,movie,1918,"Family,Fantasy",6.9,1096,movie
tt0009150,movie,1918,"Drama,Romance,War",6.5,1159,movie
tt0009369,movie,1918,"Comedy,Drama",6.1,1210,movie
tt0009652,movie,1918,Drama,6.9,1655,movie
tt0009878,movie,1919,"Crime,Drama,History",7,1650,movie
tt0009892,movie,1919,"Drama,History,Romance",5.5,1280,movie
tt0009893,movie,1919,Comedy,7.1,2344,movie
tt0009900,movie,1919,"Adventure,Drama,Romance",6.2,1007,movie
tt0009937,movie,1919,"Drama,Romance",6.9,1782,movie
tt0009968,movie,1919,"Drama,Romance",7.2,11595,movie
tt0010040,movie,1919,"Comedy,Drama,Musical",6.6,1510,movie
tt0010071,movie,1919,Comedy,6.5,1312,movie
tt0010247,movie,1919,"Drama,History",7.1,1658,movie
tt0010267,movie,1919,Comedy,6.7,1070,movie
tt0010281,movie,1918,"Comedy,Romance",6.8,1780,movie
tt0010307,movie,1919,"Drama,Horror,War",7.7,2302,movie
tt0010323,movie,1920,"Horror,Mystery,Thriller",8,74364,movie
tt0010418,movie,1919,"Adventure,Drama",7,2047,movie
tt0010598,movie,1919,Drama,6.6,1135,movie
tt0010600,movie,1919,"Comedy,Fantasy,Sci-Fi",7.4,2588,movie
tt0010726,movie,1919,"Adventure,Drama,Western",6.5,1579,movie
tt0010806,movie,1919,"Comedy,Drama,Romance",6.9,2104,movie
tt0010879,movie,1919,"Action,Comedy,Romance",6.8,1037,movie
tt0011000,movie,1920,Drama,6.6,1427,movie
tt0011130,movie,1920,"Drama,Horror,Sci-Fi",6.9,6486,movie
tt0011157,movie,1920,"Comedy,Romance",6.4,1114,movie
tt0011221,movie,1920,"Fantasy,Horror,Romance",5.9,1234,movie
tt0011237,movie,1920,"Fantasy,Horror",7.2,9221,movie
tt0011387,movie,1920,"Action,Adventure,Drama",6.7,1535,movie
tt0011439,movie,1920,"Adventure,Drama,Romance",7,2985,movie
tt0011565,movie,1920,"Crime,Drama,Horror",7.3,2814,movie
tt0011607,movie,1920,"Comedy,Drama,Horror",7.1,1623,movie
tt0011652,movie,1920,"Comedy,Drama,Romance",6.1,1890,movie
tt0011723,movie,1920,Adventure,6.1,1201,movie
tt0011841,movie,1920,"Drama,Romance",7.3,6192,movie
tt0011865,movie,1920,"Comedy,Drama",6.7,1550,movie
tt0011870,movie,1920,"Drama,Romance",6.4,3936,movie
tt0011904,movie,1921,"Crime,Drama,Mystery",6.8,1428,movie
tt0011909,movie,1921,"Comedy,Drama",6.6,1411,movie
tt0011960,movie,1921,"Comedy,Drama,Romance",6.8,1419,movie
tt0012027,movie,1921,"Drama,Romance",6.5,1111,movie
tt0012190,movie,1921,"Drama,Romance,War",7.1,3762,movie
tt0012349,movie,1921,"Comedy,Drama,Family",8.2,143081,movie
tt0012364,movie,1921,"Drama,Fantasy,Horror",8,15266,movie
tt0012494,movie,1921,"Drama,Fantasy,Horror",7.6,7148,movie
tt0012532,movie,1921,"Drama,History,Romance",7.3,5686,movie
tt0012642,movie,1921,"Action,Adventure,Comedy",6.8,1350,movie
tt0012651,movie,1921,"Crime,Drama,Horror",6.1,2207,movie
tt0012675,movie,1921,"Adventure,Drama,Romance",6.2,3855,movie
tt0012752,movie,1921,"Action,Adventure,Family",6.9,1235,movie
tt0012763,movie,1921,Drama,7.1,2014,movie
tt0012938,movie,1922,"Drama,Romance",6.7,2453,movie
tt0012952,movie,1922,"Drama,Romance,Sport",6.3,1623,movie
tt0013075,movie,1922,"Comedy,Romance",7.1,1767,movie
tt0013086,movie,1922,"Crime,Mystery,Thriller",7.8,9721,movie
tt0013140,movie,1922,"Drama,Thriller",7,4286,movie
tt0013201,movie,1922,"Comedy,Family",7,2168,movie
tt0013257,movie,1922,"Documentary,Fantasy,Horror",7.6,18387,movie
tt0013427,movie,1922,Documentary,7.6,14125,movie
tt0013442,movie,1922,"Fantasy,Horror",7.8,120568,movie
tt0013496,movie,1922,"Drama,Romance",6.7,2062,movie
tt0013556,movie,1922,"Adventure,Family,Romance",7,2621,movie
tt0013571,movie,1922,"Biography,Drama,History",6.6,1334,movie
tt0013579,movie,1923,"Drama,Fantasy,Horror",6.6,1196,movie
tt0013750,movie,1922,"Drama,Romance",6.6,1162,movie
tt0013933,movie,1923,"Drama,Romance",7.4,1560,movie
tt0014029,movie,1923,"Comedy,Romance",6.7,1248,movie
tt0014109,movie,1924,"Drama,Romance",7,1492,movie
tt0014142,movie,1923,"Drama,Horror,Romance",7.2,6609,movie
tt0014205,movie,1923,"Comedy,Romance",6.3,1150,movie
tt0014341,movie,1923,"Comedy,Romance,Thriller",7.7,13252,movie
tt0014358,movie,1923,"Comedy,Western",7.2,6017,movie
tt0014417,movie,1923,Drama,7.5,2727,movie
tt0014429,movie,1923,"Comedy,Romance,Thriller",8.1,24303,movie
tt0014497,movie,1923,"Comedy,Drama,Romance",7,1181,movie
tt0014532,movie,1923,"Biography,Drama,History",6.8,2878,movie
tt0014538,movie,1923,Comedy,7,5629,movie
tt0014586,movie,1924,"Fantasy,Horror",6.6,2504,movie
tt0014611,movie,1923,"Adventure,Comedy,Family",7.3,2187,movie
tt0014624,movie,1923,"Drama,Romance",6.9,6720,movie
tt0014646,movie,1924,"Adventure,Comedy,Drama",6.3,3063,movie
tt0014900,movie,1924,Comedy,6.2,1044,movie
tt0014945,movie,1924,"Comedy,Romance",7.7,3881,movie
tt0014972,movie,1924,"Drama,Horror,Romance",7.7,4703,movie
tt0015002,movie,1924,Comedy,7.1,1695,movie
tt0015014,movie,1924,"Drama,Mystery,Romance",7.2,1162,movie
tt0015016,movie,1924,"Drama,History,Romance",7.2,2692,movie
tt0015039,movie,1924,Documentary,6.9,1284,movie
tt0015064,movie,1924,Drama,8,16147,movie
tt0015116,movie,1924,"Comedy,Drama",6.7,1194,movie
tt0015119,movie,1924,Comedy,7,1608,movie
tt0015136,movie,1924,"Drama,Romance",7.1,2190,movie
tt0015163,movie,1924,"Action,Adventure,Comedy",7.5,11802,movie
tt0015167,movie,1924,"Comedy,Fantasy,Romance",6.4,1189,movie
tt0015174,movie,1924,"Adventure,Drama,Fantasy",7.9,5407,movie
tt0015175,movie,1924,"Adventure,Drama,Fantasy",8.1,7080,movie
tt0015202,movie,1924,"Crime,Horror,Mystery",7,3732,movie
tt0015214,movie,1925,"Comedy,Sci-Fi",7.1,2091,movie
tt0015224,movie,1924,"Adventure,Family,Fantasy",7.1,1436,movie
tt0015324,movie,1924,"Action,Comedy,Romance",8.1,63594,movie
tt0015361,movie,1925,Drama,7.6,9231,movie
tt0015400,movie,1924,"Adventure,Family,Fantasy",7.7,7483,movie
tt0015532,movie,1926,"Adventure,Animation,Drama",7.8,7473,movie
tt0015624,movie,1925,"Drama,Romance,War",7.9,7674,movie
tt0015634,movie,1925,"Crime,Drama,Thriller",6.2,1283,movie
tt0015648,movie,1925,"Drama,History,Thriller",7.9,64041,movie
tt0015768,movie,1925,"Comedy,Drama",7,2556,movie
tt0015772,movie,1925,"Action,Adventure,Comedy",6.6,2438,movie
tt0015841,movie,1925,"Comedy,Family,Romance",7.5,6435,movie
tt0015842,movie,1925,Drama,7,1827,movie
tt0015863,movie,1925,"Comedy,Western",7.1,5420,movie
